iso,country_name,year,tree_cover_ha,country_area_ha
URY,Uruguay,2000,1697322.4230811377,17746574.344348237
USA,United States,2000,279376627.6499364,947295610.2482461
UZB,Uzbekistan,2000,106176.2572918298,44755388.10019597
VAT,Vatican City,2000,4.838481851469184,52.878039684036295
VCT,Saint Vincent and the Grenadines,2000,29110.614161166537,39788.971628629006
VEN,Venezuela,2000,56533524.970901266,91249225.5262328
VGB,British Virgin Islands,2000,7463.880883783565,16932.044499446165
VIR,"Virgin Islands, U.S.",2000,18997.907283310753,36213.91572681767
VNM,Vietnam,2000,16551332.113414008,32927599.947525445
VUT,Vanuatu,2000,1181152.0649708945,1231886.1031565
XAD,Akrotiri and Dhekelia,2000,455.93756603192634,23448.381322557925
XCA,,2000,141764.26840791255,37158133.71155771
XCL,Clipperton Island,2000,0.0,1008.6390983719308
XKO,Kosovo,2000,370224.3839667744,1091976.4479458749
XNC,Northern Cyprus,2000,12307.275529252383,331406.9141575768
XPI,,2000,0.0,1969.2127161159829
XSP,,2000,0.0,188.15293746538805
YEM,Yemen,2000,126.1637233351828,45220898.29137349
ZAF,South Africa,2000,5983115.28501287,121971018.80353308
ZMB,Zambia,2000,24050819.111732684,75049201.88692608
ZWE,Zimbabwe,2000,1414326.424672402,39068111.13498134
