iso,country_name,year,driver,tree_loss_ha
GLO,global,2005,Wildfire,3213314.4555812962
GLO,global,2006,Wildfire,3314048.25520396
GLO,global,2007,Wildfire,2805924.4944953592
GLO,global,2008,Wildfire,3181493.560384398
GLO,global,2009,Wildfire,2219709.0302544422
GLO,global,2010,Wildfire,2817897.8284867164
GLO,global,2011,Wildfire,3034007.96368518
GLO,global,2012,Wildfire,5035126.832172049
GLO,global,2013,Wildfire,6202273.522205225
GLO,global,2014,Wildfire,5345598.542050672
GLO,global,2015,Wildfire,3986086.9148523775
GLO,global,2016,Wildfire,4607482.169334983
GLO,global,2017,Wildfire,5445114.616835854
GLO,global,2018,Wildfire,5676881.390296128
GLO,global,2019,Wildfire,5219504.449428666
GLO,global,2020,Wildfire,6846897.0521069
GLO,global,2021,Wildfire,7019093.333162828
GLO,global,2022,Wildfire,5224176.147626446
